Author(s) ID,ACM,ACM/IEEE,IEEE,All
13009001800,1,0,1,2
14031183900,2,0,1,3
14523706200,1,0,1,2
15724751900,6,0,3,9
15835267300,16,0,1,17
16030066400,1,0,1,2
16238221500,24,0,3,27
16238506200,3,0,1,4
16556710700,2,0,13,15
23394355900,1,0,1,2
23974719600,6,0,1,7
24071201300,3,0,1,4
24504604700,2,0,1,3
25822821400,1,0,1,2
34879360700,2,0,1,3
34881822600,6,1,0,7
35487798800,9,0,1,10
35760979900,1,0,3,4
35774355300,1,0,1,2
36163092300,1,0,1,2
36184971800,2,0,2,4
36192382300,1,0,5,6
36192411700,2,0,4,6
36192451600,2,0,1,3
36456834700,27,1,0,28
36950784300,1,0,1,2
37044692500,4,0,3,7
37561894100,1,0,1,2
50862300900,19,0,1,20
53867884600,15,0,2,17
55177925000,1,0,1,2
55258331900,7,0,2,9
55259716800,0,1,1,2
55337845600,5,0,3,8
55396865500,10,0,2,12
55519966000,1,0,1,2
55604856000,4,0,1,5
55937414500,1,0,1,2
56026126700,1,0,1,2
56255072300,0,1,1,2
56266643600,5,0,1,6
56266788700,1,0,1,2
56266976300,1,0,2,3
56395998400,7,0,1,8
56407087000,2,0,1,3
56789541900,9,0,2,11
56874696300,1,0,1,2
56940234600,1,0,2,3
57062857300,1,0,1,2
57110924300,2,1,0,3
57188553085,1,0,1,2
57189005098,1,0,8,9
57189046328,1,1,0,2
57189049822,1,1,0,2
57194267314,8,0,1,9
57199904952,1,0,1,2
57202994006,3,0,1,4
57203517444,6,0,1,7
57204223407,2,1,1,4
57207046391,3,0,1,4
57207554001,1,0,2,3
57219489987,1,0,1,2
57220062011,1,0,1,2
57231831000,1,0,1,2
57268472500,2,0,1,3
57807171400,1,0,1,2
6506707692,2,0,1,3
6507609258,3,0,2,5
6602180348,4,0,6,10
6602297767,1,0,3,4
6602406898,1,0,3,4
6602775385,4,0,1,5
6603028733,24,0,2,26
6603376681,1,0,1,2
7003472283,1,0,1,2
7004297978,4,0,3,7
7005300654,2,0,1,3
7005317462,5,0,1,6
7005937731,1,0,2,3
7005949369,1,0,1,2
7006127533,2,0,1,3
7006567201,5,0,3,8
7006840566,1,0,1,2
7102683774,3,1,0,4
7202412154,0,1,1,2
7402956932,13,0,2,15
7403131571,1,0,1,2
7403181182,0,1,1,2
8531922500,1,0,5,6
8684305800,2,0,1,3
8919148700,8,0,1,9
9133799500,4,0,3,7
