Venue (sponsor),Nb,Perc.
ACM CHI,156,17.7
ACM ASSETS,141,16.0
ACM TACCESS,39,4.4
IEEE Access,35,4.0
IEEE EMBC,16,1.8
IEEE TNSRE,15,1.7
ACM UIST,14,1.6
ACM PACMHCI,13,1.5
IEEE ToH,11,1.2
IEEE THMS,10,1.1
ACM UbiComp/ISWC,9,1.0
IEEE ICCV,9,1.0
ACM PETRA,9,1.0
ACM MobileHCI,8,0.9
IEEE JSEN,8,0.9
IEEE CVPR,8,0.9
IEEE CVPRW,8,0.9
ACM DIS,7,0.8
ACM TOCHI,7,0.8
ACM TEI,7,0.8
ACM IMWUT,6,0.7
ACM SIGCSE,6,0.7
IEEE HAPTICS,6,0.7
ACM IDC,6,0.7
IEEE ICRA,6,0.7
IEEE ICCE,5,0.6
IEEE TCE,5,0.6
IEEE PERCOM,5,0.6
IEEE ICCSP,5,0.6
ACM AH,5,0.6
IEEE CCNC,5,0.6
IEEE VRW,4,0.5
IEEE ICME,4,0.5
IEEE SENSORS,4,0.5
IEEE RTEICT,4,0.5
IEEE WACV,4,0.5
IEEE HSI,4,0.5
IEEE TIM,4,0.5
IEEE SMC,4,0.5
ACM IUI,4,0.5
ACM MM,4,0.5
ACM ICMI,3,0.3
IEEE TMC,3,0.3
ACM SAC,3,0.3
IEEE TCSVT,3,0.3
IEEE WHC,3,0.3
IEEE TITS,3,0.3
IEEE Confluence,3,0.3
IEEE MPRV,3,0.3
ACM NordiCHI,3,0.3
ACM CSCW,3,0.3
ACM W4A,3,0.3
IEEE R10-HTC,2,0.2
IEEE IPIN,2,0.2
IEEE DELCON,2,0.2
IEEE IECON,2,0.2
IEEE ROBIO,2,0.2
IEEE RCAR,2,0.2
IEEE IROS,2,0.2
IEEE Healthcom,2,0.2
IEEE MPOT,2,0.2
ACM CompSysTech,2,0.2
IEEE BIBMW,2,0.2
IEEE ICIEA,2,0.2
IEEE ICIP,2,0.2
IEEE ISIEA,2,0.2
IEEE ICSIMA,2,0.2
IEEE ICASSP,2,0.2
IEEE TMM,2,0.2
IEEE SII,2,0.2
ACM TAP,2,0.2
ACM GOODTECHS,2,0.2
IEEE TVCG,2,0.2
ACM/IEEE HRI,2,0.2
ACM/IEEE ICSE,2,0.2
IEEE TBME,2,0.2
ACM ICTD,2,0.2
ACM OzCHI,2,0.2
IEEE SeGAH,2,0.2
ACM MUM,2,0.2
IEEE TMRB,1,0.1
IEEE JSTSP,1,0.1
IEEE JERM,1,0.1
IEEE JIoT,1,0.1
IEEE TSMCC,1,0.1
IEEE TIP,1,0.1
IEEE JTEHM,1,0.1
IEEE JSYST,1,0.1
IEEE IRC,1,0.1
IEEE WF-IoT,1,0.1
IEEE LRA,1,0.1
IEEE LSENS,1,0.1
IEEE INFOCOM,1,0.1
IEEE TLT,1,0.1
IEEE JBHI,1,0.1
IEEE IS,1,0.1
IEEE JAS,1,0.1
IEEE IWMN,1,0.1
IEEE MCOM,1,0.1
IEEE IVS,1,0.1
IEEE ITSC,1,0.1
